,Country of Origin,Notified by,number of links,x_x,y_x,x_y,y_y
0,Afghanistan,Denmark,1,66.0047336558,33.8352307278,10.0280099191,55.9812529593
1,Afghanistan,Finland,1,66.0047336558,33.8352307278,26.2746656042,64.4988460349
2,Afghanistan,Sweden,2,66.0047336558,33.8352307278,16.7455804869,62.7796651931
3,Afghanistan,United Kingdom,2,66.0047336558,33.8352307278,-2.86563164084,54.1238715577
4,Albania,Croatia,4,20.0498339611,41.1424498947,16.404128994,45.0804763057
5,Albania,Germany,4,20.0498339611,41.1424498947,10.385780508,51.1069818075
6,Albania,Greece,7,20.0498339611,41.1424498947,22.9555579369,39.0746962307
7,Albania,Italy,3,20.0498339611,41.1424498947,12.0700133907,42.796626414
8,Albania,Lithuania,1,20.0498339611,41.1424498947,23.8871935548,55.3261098445
9,Albania,Slovenia,1,20.0498339611,41.1424498947,14.8044423776,46.1155477207
10,Algeria,France,15,2.6173230092,28.1589384945,-2.76172944519,42.1734401107
11,Algeria,Italy,2,2.6173230092,28.1589384945,12.0700133907,42.796626414
12,Algeria,United Kingdom,1,2.6173230092,28.1589384945,-2.86563164084,54.1238715577
13,Andorra,Spain,1,1.56054377918,42.5422910219,-3.64755047323,40.2444869811
14,Angola,Spain,1,17.5373676815,-12.2933605438,-3.64755047323,40.2444869811
15,Argentina,Belgium,4,-65.179806925,-35.3813487953,4.64065113918,50.6398157556
16,Argentina,Bulgaria,1,-65.179806925,-35.3813487953,25.2155290863,42.7689031797
17,Argentina,Croatia,4,-65.179806925,-35.3813487953,16.404128994,45.0804763057
18,Argentina,Cyprus,3,-65.179806925,-35.3813487953,33.0060021957,34.916672112
19,Argentina,Czech Rep.,1,-65.179806925,-35.3813487953,15.3124016281,49.7334123295
20,Argentina,France,3,-65.179806925,-35.3813487953,-2.76172944519,42.1734401107
21,Argentina,Germany,14,-65.179806925,-35.3813487953,10.385780508,51.1069818075
22,Argentina,Greece,7,-65.179806925,-35.3813487953,22.9555579369,39.0746962307
23,Argentina,Hungary,1,-65.179806925,-35.3813487953,19.3955911607,47.1627750614
24,Argentina,Italy,15,-65.179806925,-35.3813487953,12.0700133907,42.796626414
